Channel Title,Channel Username,clean_text,Date,Message ID,Media Path
Sheger online-store,@Shageronlinestore,5 5 ለተለያዩ መጠጦች ማቅረቢያ 5 5 ሊትር የመያዝ አቅም ያለው ማራኪ እና በዉብ ዲዛይን ለቤትዎ ተጨማሪ ድምቀት የሚሆን ዋጋ 4 000ብር ዉስን ፍሬ ነው ያለን አድራሻ ቁ 1 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል ሁለተኛ ፎቅ ቢሮ ቁ 05 ከ ሊፍቱ ፊት ለ ፊት ቁ 2 ለቡ መዳህኒዓለም ቤተ ክርስቲያን 100ሜ ወደ ሙዚቃ ቤት ከፍ ብሎ ዛም ሞል 2ኛ ፎቅ ቢሮ ቁ 214 0909522840 0923350054 ለቡ ቅርንጫፍ 0973611819 በ ለማዘዝ ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,2025-06-24 15:45:49+00:00,7422,photos\@Shageronlinestore_7422.mp4
Sheger online-store,@Shageronlinestore,በረሮ ቢንቢ አይጥ ሸረሪት እና ሌሎችም ነፍሳት እና ተባዮችን እስከ መጨረሻ ድረስ ያስወግዳል የትም ቦታ ይዞ ለመንቀሳቀስ ምቹ ቆጣቢ ምንም አይነት ድምፅ የሌለው 20 80 1 ዋጋ 600 ብር ውስን ፍሬ ነው ያለው አድራሻ ቁ 1 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል ሁለተኛ ፎቅ ቢሮ ቁ 05 ከ ሊፍቱ ፊት ለ ፊት ቁ 2 ለቡ መዳህኒዓለም ቤተ ክርስቲያን ፊት ለፊት ዛም ሞል 2ኛ ፎቅ ቢሮ ቁጥር 214 0909522840 0923350054 ለቡ ቅርንጫፍ 0973611819 በ ለማዘዝ ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,2025-06-24 10:08:29+00:00,7421,photos\@Shageronlinestore_7421.mp4
Sheger online-store,@Shageronlinestore,በረሮ ቢንቢ አይጥ ሸረሪት እና ሌሎችም ነፍሳት እና ተባዮችን እስከ መጨረሻ ድረስ ያስወግዳል የትም ቦታ ይዞ ለመንቀሳቀስ ምቹ ቆጣቢ ምንም አይነት ድምፅ የሌለው 20 80 1 ዋጋ 600 ብር አድራሻ ቁ 1 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል ሁለተኛ ፎቅ ቢሮ ቁ 05 ከ ሊፍቱ ፊት ለ ፊት ቁ 2 ለቡ መዳህኒዓለም ቤተ ክርስቲያን ፊት ለፊት ዛም ሞል 2ኛ ፎቅ ቢሮ ቁጥር 214 0909522840 0923350054 ለቡ ቅርንጫፍ 0973611819 በ ለማዘዝ ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,2025-06-24 10:08:29+00:00,7420,photos\@Shageronlinestore_7420.jpg
Sheger online-store,@Shageronlinestore,3 1 250 2500 ዋጋ 350ብር አድራሻ ቁ 1 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል ሁለተኛ ፎቅ ቢሮ ቁ 05 ከ ሊፍቱ ፊት ለ ፊት ቁ 2 ለቡ መዳህኒዓለም ቤተ ክርስቲያን 100ሜ ወደ ሙዚቃ ቤት ከፍ ብሎ ዛም ሞል 2ኛ ፎቅ ቢሮ ቁ 214 0909522840 0923350054 ለቡ ቅርንጫፍ 0973611819 በ ለማዘዝ ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,2025-06-24 05:36:56+00:00,7419,photos\@Shageronlinestore_7419.mp4
Sheger online-store,@Shageronlinestore,,2025-06-24 05:36:56+00:00,7418,photos\@Shageronlinestore_7418.jpg
Sheger online-store,@Shageronlinestore,,2025-06-24 05:36:56+00:00,7417,photos\@Shageronlinestore_7417.jpg
Sheger online-store,@Shageronlinestore,,2025-06-24 05:36:55+00:00,7416,photos\@Shageronlinestore_7416.jpg
Sheger online-store,@Shageronlinestore,3 1 250 2500 ዋጋ 350ብር አድራሻ ቁ 1 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል ሁለተኛ ፎቅ ቢሮ ቁ 05 ከ ሊፍቱ ፊት ለ ፊት ቁ 2 ለቡ መዳህኒዓለም ቤተ ክርስቲያን 100ሜ ወደ ሙዚቃ ቤት ከፍ ብሎ ዛም ሞል 2ኛ ፎቅ ቢሮ ቁ 214 0909522840 0923350054 ለቡ ቅርንጫፍ 0973611819 በ ለማዘዝ ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,2025-06-24 05:36:55+00:00,7415,photos\@Shageronlinestore_7415.jpg
Sheger online-store,@Shageronlinestore,ዘመናዊ የልብስ ቁምሳጥን በቀላሉ የሚገጣጠም የሚነቃቀል ከጠንካራ ፕላስቲክና ከብረት ፍሬም የተሰራ 1 05ሜትር 45ሣሜ 1 75ሜትር ስፋት ከስሩ 4 ጥንድ ጫማዎችንም ያስቀምጡበታል የልጆችና የአዋቂ ልብሶችን ለማስቀመጥ ተመራጭ ማራኪ ውበት ዋጋ 5500 ብር ውስን ፍሬ ነው ያለው አድራሻ ቁ 1 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል ሁለተኛ ፎቅ ቢሮ ቁ 05 ከ ሊፍቱ ፊት ለ ፊት ቁ 2 ለቡ መዳህኒዓለም ቤተ ክርስቲያን 100ሜ ወደ ሙዚቃ ቤት ከፍ ብሎ ዛም ሞል 2ኛ ፎቅ ቢሮ ቁ 214 0909522840 0923350054 ለቡ ቅርንጫፍ 0973611819 በ ለማዘዝ ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,2025-06-23 10:31:18+00:00,7414,photos\@Shageronlinestore_7414.mp4
Sheger online-store,@Shageronlinestore,,2025-06-23 10:31:18+00:00,7413,photos\@Shageronlinestore_7413.jpg
